Subject,Block,Round,Condition,Index,from,to,set,Object,Position,StartTime,EndTime,FB_EndTime,dError,dMoved,totalAngle,directionChange,nManipulation,estimation_dError,Time,TimeCompensated,Q1,Q2,Q3,Q4,Q1z,Q2z,Q3z,Q4z,MemoryPerform,PathEfficiency,TimeEfficiency,tCenter,tPeri,dEndpoint
1,3,6,2,5,2,1,2,Hammer,7,2558.517,2565.654,2567.866,11.730,89.311,218.400,2,3,7.476388,1.083984,0.474807906,-10,-10,-10,-10,-10,-10,-10,-10,0.974590916,1.232691286,15.92984965,3,2.543,35.85429144
1,3,6,2,6,1,3,2,FireExtinguisher,1,2568.877,2575.780,2581.643,28.859,60.640,224.000,4,4,2.919548,2.291016,2.053131229,-10,-10,-10,-10,-10,-10,-10,-10,0.868932479,1.052718594,11.2212452,0,5.383,38.51319061
1,3,6,2,7,3,2,2,Apple,13,2582.654,2587.813,2593.963,38.892,49.198,100.800,2,3,5.311902,1.010986,0.578172225,-10,-10,-10,-10,-10,-10,-10,-10,0.776441118,1.004357273,13.60116658,0,3.606,37.32293109
1,3,6,2,8,2,1,2,Hammer,7,2594.973,2603.827,2606.202,13.937,70.633,121.603,3,3,4.303966,1.011963,0.66127585,-10,-10,-10,-10,-10,-10,-10,-10,0.965237985,1.003968217,9.65572289,1.5,5.787,37.96737704
1,3,6,2,9,1,3,2,FireExtinguisher,1,2607.213,2611.908,2615.912,31.459,56.466,126.400,2,2,4.817026,1.104492,0.712000722,-10,-10,-10,-10,-10,-10,-10,-10,0.846867805,1.021336791,17.44985741,0,3.147,37.42857467
1,3,6,2,10,3,1,2,Hammer,7,2616.922,2623.460,2627.562,34.375,55.611,179.200,1,2,6.068824,1.117188,0.62270022,-10,-10,-10,-10,-10,-10,-10,-10,0.820484411,1.094480782,10.99109072,0.5,4.438,34.75696873
1,3,6,2,11,1,2,2,Apple,13,2628.573,2633.674,2636.860,29.046,56.035,133.600,2,2,5.822059,1.010986,0.536604633,-10,-10,-10,-10,-10,-10,-10,-10,0.86739315,1.033530723,15.13711378,1.7,1.887,27.62038062
1,3,6,2,12,2,3,2,FireExtinguisher,1,2637.871,2645.867,2650.910,11.145,83.853,226.402,3,4,5.939477,1.104736,0.620787414,-10,-10,-10,-10,-10,-10,-10,-10,0.97683951,1.080550301,13.43552527,1.6,4.489,38.53622111
1,3,6,2,13,3,2,2,Apple,13,2651.921,2658.338,2661.407,23.213,72.146,148.000,2,3,5.78969,1.046631,0.574887059,-10,-10,-10,-10,-10,-10,-10,-10,0.911742715,1.157533658,14.7197554,0,4.839,38.38813257
1,3,6,2,14,2,3,2,FireExtinguisher,1,2662.418,2671.930,2673.905,12.619,83.758,192.001,2,3,6.822249,1.001465,0.445588151,-10,-10,-10,-10,-10,-10,-10,-10,0.970987727,1.186978386,10.34381528,2.6,5.342,35.89964907
2,1,1,2,1,0,1,4,ABat,9,1043.879,1056.095,1071.305,87.175,49.946,112.801,5,7,22.0119,4.925537,3.132007388,-3,-3,-3,-3,0,0,0,0,0.184051694,1.006932039,5.010563177,6.341,3.6,50.21413348
2,1,1,2,2,1,2,4,Chicken,15,1072.317,1088.129,1093.184,12.609,82.722,297.601,7,8,13.60669,2.293579,1.184905899,-3,-3,-3,-3,0,0,0,0,0.971029497,1.045927166,6.002408151,0,13.603,51.30501272
2,1,1,2,3,2,1,4,ABat,9,1094.195,1113.842,1122.505,11.847,81.262,361.600,6,12,41.7623,5.875244,2.472451796,-3,-3,-3,-3,0,0,0,0,0.974129491,1.027226096,4.55131149,0,17.725,51.12414628
2,1,1,2,4,1,3,4,Guitar,3,1123.515,1126.068,1146.855,84.985,0.000,0.000,0,0,75.96996,15.42322,9.233187659,-3,-3,-3,-3,0,0,0,0,0.210435872,,,,,
2,1,1,2,5,3,2,4,Chicken,15,1147.863,1157.784,1165.050,4.820,93.687,252.002,5,6,16.85577,2.386108,1.01269986,-3,-3,-3,-3,0,0,0,0,0.994725879,1.072043824,11.59727623,0,8.057,51.09536418
2,1,1,2,6,2,3,4,Guitar,3,1166.061,1173.388,1178.584,8.281,82.057,76.802,3,4,16.22077,2.350464,1.02879566,-3,-3,-3,-3,0,0,0,0,0.986417406,1.012096834,14.71576484,1.2,4.359,48.52285586
